Product,Collateral,Collateral type,Dai Issued,Total Value Locked,Collateralization ratio
PSM,USDC,PSM-USDC-A,1970000000,1970000000,1
PSM,GUSD,PSM-GUSD-A,569000000,569000000,1
PSM,USDP,PSM-GUSP-A,,,
D3M,Aave,DIRECT-AAVEV2-DAI,5000000,0,
D3M,Compound,DIRECT-COMPV2-DAI,30000000,0,
RWA,RWA-001,RWA-001-A,,,
RWA,RWA-002,RWA-002-A,,,
RWA,RWA-003,RWA-003-A,,,
RWA,RWA-004,RWA-004-A,,,
RWA,RWA-005,RWA-005-A,,,
RWA,RWA-006,RWA-006-A,,,
RWA,RWA-007,RWA-007-A,500000000,500000000,1
RWA,RWA-008,RWA-008-A,,,
RWA,RWA-009,RWA-009-A,100000000,100000000,1
RWA,RWA-010,RWA-010-A,,,
RWA,RWA-011,RWA-011-A,,,
RWA,RWA-012,RWA-012-A,,,
RWA,RWA-013,RWA-013-A,63200000,63200000,1
RWA,RWA-014,RWA-014-A,,,
CDPs,ETH,ETH-C,1030000000,305000000,3.37704918032787
CDPs,ETH,ETH-A,779000000,223000000,3.4932735426009
CDPs,ETH,ETH-B,153000000,56100000,2.72727272727273
CDPs,wstETH,wstETH-A,,,
CDPs,wstETH,wstETH-B,,,
CDPs,wBTC,wBTC-A,,,
LPs,G-UNI,DAI-USD,,,
LPs,CRV,ETHSTETH,,,